,model,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28
0,model_umap_{'n_neighbors': 3}_hdbscan_{'min_cluster_size': 5}_sentences,"['ελλάδα', 'χώρα', 'σήμερα', 'κρίση', 'κι', 'χρόνια', 'κυβέρνηση', 'ευρώπη', 'χώρας', 'θέλω']","['ευχαριστώ', 'κι', 'καλή', 'νατο', 'ευρώπη', 'ρωσίας', 'υπάρχουν', 'ευρώπης', 'ουαλία', 'λαθρομετανάστες']","['έργα', 'έργο', 'υποδομών', 'έργων', 'αεροδρόμιο', 'λιμάνι', 'μετρό', 'ολοκληρωθεί', 'λιμάνια', 'ε65']","['επιχειρήσεις', 'τουρισμού', 'ανταγωνιστικότητα', 'ανταγωνιστικότητας', 'εστίαση', 'τουρισμός', 'ανάπτυξη', 'τουρισμό', 'εξωστρέφεια', 'σημεία συμφόρησης']","['σήμερα γιορτάζουμε', 'γιορτάζουμε', 'γιορτάζουμε νίκη', 'νίκη δημοκρατίας', 'δημοκρατίας σήμερα', 'πανεπιστήμια', 'πανεπιστήμιο', 'γυναίκες', 'λύση', 'ισραήλ']","['ενέργειας', 'αερίου', 'φυσικού αερίου', 'φυσικού', 'αέριο', 'φυσικό αέριο', 'λιγνίτη', 'ηλεκτρικής', 'φυσικό', 'ηλεκτρικής ενέργειας']","['greece', 'thank', 'years', 'nato', 'european', 'security', 'alliance', 'important', 'europe', 'greek']","['υγείας', 'νοσοκομεία', 'υγεία', 'σύστημα υγείας', 'νοσοκομείο', 'νοσοκομείων', 'εθνικό σύστημα', 'σύστημα', 'πρωτοβάθμιας', 'πρωτοβάθμια']","['εμβόλια', 'εμβόλιο', 'εμβολιασμού', 'δόση', 'εμβολιαστούν', 'εμβολίων', 'εμβολιαστεί', 'εμβολιασμούς', 'εμβολιασμό', 'εμβολιασμός']","['σύνορα', 'συνόρων', 'σύνορά', 'frontex', 'εξωτερικά σύνορα', 'καλύτερη ευρώπη', 'ασύλου', 'εξωτερικά', 'προστασία συνόρων', 'περισσότερη']","['αμυντικής', 'μελών', '35', 'κρατών μελών', 'αμυντικής ικανότητας', 'ακεραιότητα', 'impressed saw', 'seen capabilities', 'στρατιωτικά προστατεύσει', 'armed forces']","['σχολείο', 'self', 'σχολεία', 'test', 'παιδιά', 'self test', 'δασκάλους', 'σχολείων', 'εκπαίδευσης', 'self tests']","['ηλεκτροκίνηση', 'φόρτισης', 'ηλεκτροκίνησης', 'ηλεκτρικά', 'αυτοκίνητα', 'οχήματα', 'volkswagen', 'ηλεκτρικό', 'ηλεκτρικά αυτοκίνητα', 'ηλεκτρικών']","['ναυτιλία', 'λιμενικού', 'λιμενικού σώματος', 'σώματος', 'ναυτιλίας', 'λιμενικό', 'ελληνική ναυτιλία', 'ειδικά ευπαθείς', 'λιμενικό σώμα', 'πλοία']","['μέτρα', 'πιστοποιητικό', 'αξιολογούμε', 'τηλεργασία', 'επιδημιολογικά δεδομένα', 'επιδημιολογικά', 'ιού', 'διάδοση ιού', 'πράγματι μπορούμε', 'τσιόδρας']","['αγρότες', 'ελγα', 'διαπιστώνω υπάρχουν', 'αντιφατικοί κανονισμοί', 'αντιφατικοί', 'ασφυξία ευρωπαίοι', 'αντίθεση πρόσβαση', 'πρόσβαση άφθονη', 'παράδειγμα κάνουμε', 'ρευστότητα χαμηλά']","['περιβαλλοντικές', 'πλαίσιο ανέφερα', 'προηγουμένως περιβαλλοντικές', 'περιβαλλοντικές επιταγές', 'επιταγές επηρεάζουν', 'επηρεάζουν κλάδους', 'κυκλική οικονομία', 'κυκλική', 'κλάδους οικονομίας', 'ανέφερα προηγουμένως']","['ψέμα', 'κι ψέμα', 'ψέμα κι', 'σελίδα ντροπή', 'ψέμα γυρίζει', 'ντροπή ψέμα', 'ντροπή', 'γυρίζει σελίδα', 'γυρίζει', 'κάνουμε περήφανο']","['μπορούμε στέρεα', 'στέρεα δίνουμε', 'δίνουμε μπορούμε', 'μισθός', 'δίνουμε δίνουμε', 'δίνουμε', 'μισθό', 'κατώτατος', 'κατώτατος μισθός', 'διατροφή']","['αστείο διορθώσεις', 'τέλος αστείο', 'διορθώσεις παίζουμε', 'αστείο', 'διορθώσεις', 'παίζουμε τέλος', 'παίζουμε', 'καλύτερα δημιουργός', 'πω καλύτερα', 'δημιουργός']","['συλλαμβάνει αστυνομία', 'επικίνδυνων καταδίκων', 'εξόδου επικίνδυνων', 'θέλω αθώος', 'συνεχίζουν εγκληματική', 'τιμωρηθεί θέλω', 'ελεύθεροι κυκλοφορούν', 'κάνουν ξέρουν', 'εγκληματική δράση', 'εγκληματική']","['πουν χάλαγαν', 'χάλαγαν κόσμο', 'θέλουν αμφισβητήσουν', 'καιρό θέλουν', 'χάλαγαν', 'κόσμο καιρό', 'φυσιολογική κατάσταση', 'αμφισβητήσουν πουν', 'αλλαγή φυσιολογική', 'κατάσταση αλλαγή']","['εισαγόμενες', 'εγχώριες εσωτερικού', 'εσωτερικού εισαγόμενες', 'εγχώριες', 'εσωτερικού', 'αγορά κατανεμητικό', 'θέλουμε αντικαταστήσουμε', 'κατανεμητικό', 'εισαγόμενες εγχώριες', 'αντικαταστήσουμε αγορά']","['μπορούμε συνεχίσουμε', 'συνεχίσουμε μπορούμε', 'συνεχίσουμε', 'μπορούμε', '', '', '', '', '', '']","['ανησυχίες', 'τόνισα γενικό', 'τομέα ασφάλειας', 'σύμμαχος δικαίωμα', 'συμμαχία υποχρέωση', 'πω τόνισα', 'νατο σύμμαχος', 'εκφράζει ανησυχίες', 'δικαίωμα εκφράζει', 'υποχρέωση ανταποκριθεί']","['γυναίκα', 'αντιδράσει διότι', 'αντιδράσει', 'νομίζουν', 'βία', 'παράξενη τραβάει', 'δουλειά πολλή', 'υποστήριξη δώσαμε', 'συχνά παράγει', 'παράγει βίαιη']","['ξέρω κρίσιμο', 'κρίσιμο αποκατάσταση', 'αποκατάσταση αδικιών', 'αδικιών ξέρω', 'αδικιών', 'κρίσιμο', 'αποκατάσταση', 'ξέρω', '', '']","['πραγματικά μεγαλύτερη', 'τρόπος βοηθήσουμε', 'βοηθήσουμε πραγματικά', 'ανάγκη τρόπος', 'μεγαλύτερη ανάγκη', 'τρόπος', 'βοηθήσουμε', 'μεγαλύτερη', 'ανάγκη', 'πραγματικά']","['περάσουμε', 'ξαναπέφταμε χειρότερο', 'ασφάλεια όχθη', 'κοντεύουμε περάσουμε', 'κοντεύουμε', 'ξαναπέφταμε', 'φτάσουμε ασφάλεια', 'χειρότερες συνθήκες', 'χειρότερο σημείο', 'συνθήκες φτάσουμε']"
1,model_umap_{'n_neighbors': 3}_hdbscan_{'min_cluster_size': 10}_sentences,"['ελλάδα', 'χώρα', 'κρίση', 'ευρώπη', 'σήμερα', 'θέλω', 'κι', 'χρόνια', 'δύο', 'οικονομία']","['ευχαριστώ', 'κι', 'υπάρχουν', 'σήμερα', 'κάνουμε', 'ευρώπη', 'ευρώ', 'ελλάδα', 'χρόνια', 'συμβεί']","['έργα', 'έργο', 'έργων', 'υποδομών', 'περιφέρεια', 'δυτική', 'ε65', 'δυτική μακεδονία', 'μακεδονία', 'ολοκληρωθεί']","['επιχειρήσεις', 'επιχειρήσεων', 'επιστρεπτέας', 'οοσα', 'ανταγωνιστικότητα', 'εργασίας', 'εξωστρέφεια', 'γενικέ γραμματέα', 'γενικέ', 'επιστρεπτέας προκαταβολής']","['υγείας', 'νοσοκομεία', 'σύστημα υγείας', 'υγεία', 'νοσοκομείο', 'εθνικό σύστημα', 'νοσοκομείων', 'σύστημα', 'γιατρούς', 'πρωτοβάθμιας']","['greece', 'european', 'years', 'europe', 'union', 'thank', 'greek', 'committed', 'think', 'nato']","['γιορτάζουμε νίκη', 'νίκη δημοκρατίας', 'σήμερα γιορτάζουμε', 'δημοκρατίας σήμερα', 'γιορτάζουμε', 'δημοκρατίας', 'νίκη', 'ψέμα', 'jack lew', 'jack']","['αερίου', 'φυσικού αερίου', 'φυσικού', 'ενέργειας', 'αέριο', 'λιγνίτη', 'ηλεκτρικής', 'φυσικό αέριο', 'ηλεκτρικής ενέργειας', 'lng']","['σύνορα', 'συνόρων', 'frontex', 'πρόσφυγες', 'σύνορά', 'ασύλου', 'ανοίξουν', 'ροές', 'προσφύγων', 'μέτρα']","['εμβόλια', 'εμβόλιο', 'εμβολιασμού', 'εμβολιαστούν', 'εμβολίων', 'δόση', 'εμβολιαστεί', 'εμβολιασμούς', 'εμβολιασμός', 'συμπολίτες']","['πανεπιστήμια', 'πανεπιστήμιο', 'σχολεία', 'σχολείο', 'εκπαίδευσης', 'πανεπιστημίων', 'καθηγητές', 'παιδείας', 'εκπαίδευση', 'παιδιά']","['αγροτικής', 'πρωτογενή τομέα', 'τομέα', 'πρωτογενούς τομέα', 'πρωτογενούς', 'πρωτογενή', 'προϊόντα', 'αγροτική', 'αγρότες', 'προϊόντων']","['σετε', 'τουρισμού', 'εστίασης', 'τουρισμός', 'εστίαση', 'τουρισμό', 'κλάδο τουρισμού', 'τουριστικό', 'κλάδο', 'τουριστική']","['αμυντικής', 'ανησυχίες', 'συμφωνία', 'αμυντικής ικανότητας', 'τόνισα', 'διασφάλισης αμυντικής', 'συζητήσαμε υποχρέωση', 'πω τόνισα', 'υποχρέωση ανταποκριθεί', 'υποχρέωση συμμαχίας']","['ηλεκτρικά', 'ηλεκτροκίνησης', 'ηλεκτροκίνηση', 'οχήματα', 'volkswagen', 'αυτοκίνητα', 'ηλεκτρικών', 'ηλεκτρικά αυτοκίνητα', 'φόρτισης', 'ηλεκτρικό']","['αεροδρόμιο', 'αεροδρόμια', 'αεροδρομίου', 'αεροσκαφών', 'αεροδρομίων', 'αεροσκάφη', 'δυνατό θεωρείται', 'αποκρατικοποιηθεί συνολικά', 'κόσμου παρ', 'ξεπούλημα αποκρατικοποίηση']","['κυπριακού', 'λύση', 'κυπριακό', 'λύση κυπριακό', 'βιώσιμη λύση', 'τουρκοκυπρίων', 'επίλυση κυπριακού', 'δίκαιη', 'ελληνοκυπρίων', 'κατοχής']","['ναυτιλία', 'λιμενικού', 'λιμενικού σώματος', 'σώματος', 'ναυτιλίας', 'λιμενικό', 'πλοία', 'λιμενικό σώμα', 'ελληνική ναυτιλία', 'ακτοφυλακής']","['συντάξεις', 'σύνταξης', 'αναδρομικά', 'ασφαλιστικό', 'συνταξιούχους', 'ασφαλιστικό σύστημα', 'συνταξιούχοι', 'συντάξεων', 'ασφαλιστικών', 'σύνταξη']","['peace συνιστά', 'επιτυχία ιστορία', 'αποδοτικά πρόγραμμα', 'ιστορία συμμαχίας', 'λειτουργεί αποδοτικά', 'θεωρώ είκοσι', 'χρόνια λειτουργεί', 'αποδοτικά', 'είκοσι χρόνια', 'συνεταιρισμός ειρήνη']","['35', '16', 'πρόγραμμα 35', 'άμυνας', 'υπουργείου άμυνας', 'μαχητικών', 'αναβάθμισης', 'εθνικής άμυνας', 'αεροσκαφών', 'εξοπλισμών']","['μετρό', 'πειραιά τερματίζει', 'γραμμές ηλεκτρικού', 'ξεκινήσει γίνεται', 'βενιζέλου παραδοθεί', 'γίνεται σταθμό', 'οικονομικών υποθέσεων', 'δέσμευσή σταθμός', 'μετρό αντιμετωπίσει', 'παραδοθεί σημαντικά']","['σήμερα γίνουν', 'δεσμευτούμε σήμερα', 'πλειοψηφίας μελών', 'αποφάσεις πλειοψηφίας', 'μελών δεσμευτούμε', 'δικαίωμα παίξουμε', 'σεβαστές αποφάσεις', 'δεσμευτούμε', 'γίνουν σεβαστές', 'σεβαστές']","['βιοφαρμακευτικής', 'τομέα βιοφαρμακευτικής', 'βάση καινοτομία', 'φαρμακοβιομηχανία', 'τόνισε στέλιος', 'φαρμακευτική', 'καινοτομία', 'έρευνας', 'καινοτομία καθοριστικό', 'αναλάβουμε στόχο']","['σπατάλης', 'επιδιώκαμε', 'διαφορετική ιστορική', 'σπατάλης κόμματά', 'επιδιώκαμε περικοπή', 'ιστορική διαδρομή', 'κόμματά διαφορετικές', 'αφετηρίες διαφορετική', 'περικοπή σπατάλης', 'κόμματά']","['κυβερνοεπιθέσεις', 'κυβερνοασφάλειας', 'επενδύουμε', 'επιθέσεις', 'μάθαμε επενδύσαμε', 'μέλλον εφικτό', 'κυβερνοπολέμου πολέμου', 'κύπρο στιγμή', 'κύριοι ηλεκτρονικό', 'κυβερνοπολέμου']","['στέγαση', 'πρόγραμμα στέγαση', 'στέγαση εργασία', 'καταπολέμηση φτώχειας', 'διότι στέγη', 'πρόβλημα δώσουμε', 'αισθανθούν πατήσουν', 'συμπολίτες αισθανθούν', 'ένταξη καταπολέμηση', 'ευκαιρία συμπολίτες']","['περάσουμε', 'ξαναπέφταμε χειρότερο', 'χειρότερες συνθήκες', 'φτάσουμε ασφάλεια', 'συνθήκες φτάσουμε', 'χειρότερο σημείο', 'σημείο χειρότερες', 'ποτάμι κοντεύουμε', 'περάσουμε ξαναπέφταμε', 'περάσουμε ποτάμι']","['παραγωγή ηλεκτρικής', 'παραγωγή', 'φυσικού αερίου', 'ηλεκτρικής ενέργειας', 'ηλεκτρικής', 'φυσικού', 'αερίου', 'προμήθεια', 'βόρειας βαλτικής', 'γίνουμε ανεξάρτητοι']"
2,model_umap_{'n_neighbors': 3}_hdbscan_{'min_cluster_size': 15}_sentences,"['ελλάδα', 'χώρα', 'χρόνια', 'ευρώπη', 'σήμερα', 'κι', 'κρίση', 'κυβέρνηση', 'δύο', 'πολιτική']","['thank', 'ευχαριστώ', 'ευρώ', 'greece', 'european', 'europe', 'difficult', 'important', 'ευρώ ευρώ', 'think']","['έργα', 'έργων', 'έργο', 'υποδομών', 'ε65', 'δυτική', 'έργου', 'κατασκευή', 'λιμάνι', 'δυτική μακεδονία']","['υγείας', 'νοσοκομεία', 'σύστημα υγείας', 'υγεία', 'νοσοκομείο', 'εθνικό σύστημα', 'νοσοκομείων', 'σύστημα', 'γιατρούς', 'πρωτοβάθμιας']","['αερίου', 'φυσικού αερίου', 'φυσικού', 'ενέργειας', 'αέριο', 'lng', 'φυσικό αέριο', 'φυσικό', 'λιγνίτη', 'ενεργειακής']","['δήμαρχε', 'καλή', 'ολυμπιακών', 'χρονιά', 'οακα', 'καλή χρονιά', 'ολυμπιακών εγκαταστάσεων', 'προσβασιμότητας', 'ξεπεράσει σημεία', 'πιάσει βασικούς']","['ενφια', 'μείωση', 'φοροδιαφυγή', 'φόρο', 'gov gr', 'gov', 'φοροδιαφυγής', 'gr', 'φορολογικών', 'φόρων']","['εμβόλια', 'εμβόλιο', 'εμβολιασμού', 'δόση', 'εμβολιαστεί', 'εμβολίων', 'εμβολιαστούν', 'συμπολίτες', 'εμβολιασμό', 'εμβολιασμών']","['τομέα', 'πρωτογενή τομέα', 'πρωτογενή', 'αγροτικής', 'προϊόντων', 'πρωτογενούς', 'προϊόντα', 'πρωτογενούς τομέα', 'αγρότες', 'παραγωγής']","['πανεπιστήμια', 'πανεπιστήμιο', 'δημόσιο πανεπιστήμιο', 'γνώση', 'αστυπάλαια', 'πανεπιστημίων', 'εκπαίδευση', 'παιδείας', 'πανεπιστήμιά', 'ιδρύματα']","['σύνορα', 'συνόρων', 'frontex', 'σύνορά', 'προσφύγων', 'πρόσφυγες', 'ροών', 'προστασία συνόρων', 'εξωτερικά σύνορα', 'προσφυγικό']","['γραμματέα ευχηθώ', 'έργο καλωσορίσω', 'συνομιλίες γενικό', 'ευχηθώ επιτυχία', 'επιτυχία έργο', 'ικανοποίησή συνομιλίες', 'απόλυτη ικανοποίησή', 'εκφράσω απόλυτη', 'καλωσορίσω φορά', 'φορά αθήνα']","['σετε', 'τουρισμός', 'τουρισμό', 'τουρισμού', 'σετε γιάννης', 'γιάννης ρέτσος', 'ρέτσος', 'έκθεση', 'αντιπρόεδρος', 'τουριστικό']","['μπορούμε συνεχίσουμε', 'συνεχίσουμε μπορούμε', 'συνεχίσουμε', 'lamda', 'δρόμο συνεχίσουμε', 'συνεχίσουμε πιάνουμε', 'στόχους μέλλον', 'μπορούμε μείνουμε', 'μείνουμε δρόμο', 'πιάνουμε στόχους']","['λιμενικού', 'λιμενικού σώματος', 'σώματος', 'ναυτιλία', 'λιμενικό', 'μέτρα αντιμετώπισή', 'διαμαρτύρονται παίρνουμε', 'σοβαρά μέτρα', 'ανεργία διαμαρτύρονται', 'λιμενικό σώμα']","['αμυντικής', '35', 'αμυντικής ικανότητας', 'αεροσκαφών', 'διασφάλισης αμυντικής', 'υποχρέωση συμμαχίας', 'λαμβάνει μέτρα', 'στρατιωτικά προστατεύσει', 'πιστεύω συζητήσαμε', 'μέτρα διασφάλισης']","['σχολεία', 'self', 'σχολείο', 'σχολείων', 'δασκάλους', 'test', 'εκπαίδευσης', 'self tests', 'tests', 'self test']","['ηλεκτρικά', 'οχήματα', 'volkswagen', 'αυτοκίνητα', 'ηλεκτροκίνησης', 'vw', 'ηλεκτρικά αυτοκίνητα', 'ηλεκτρικών', 'οχημάτων', 'αυτοκινήτων']","['επιταγές επηρεάζουν', 'προηγουμένως περιβαλλοντικές', 'επηρεάζουν κλάδους', 'περιβαλλοντικές επιταγές', 'πλαίσιο ανέφερα', 'κυκλική', 'κυκλική οικονομία', 'κλάδους οικονομίας', 'ανέφερα προηγουμένως', 'επιταγές']","['λιανεμπόριο', 'εστίαση', 'εστίασης', 'φπα εστίαση', 'επιχειρήσεις', 'λειτουργήσει', 'φπα', 'μικρομεσαίες επιχειρήσεις', 'λιανεμπόριο λειτουργήσει', 'μικρομεσαίες']","['συντάξεις', 'συντάξεων', 'σύνταξης', 'συνταξιούχους', 'αναδρομικά', 'συνταξιούχοι', 'γήρατος', 'υπουργείο εργασίας', 'σύνταξη', 'απονομή']","['δημοκρίτειο', 'δημοκρίτειο πανεπιστήμιο', 'σιδηροδρομικού', 'προσβλέπουν σιγά', 'μπουργκάς', 'προσβλέπουν', 'αλεξανδρούπολης', 'οσε', 'σιδηρόδρομο', 'τει']","['γιορτάζουμε νίκη', 'νίκη δημοκρατίας', 'σήμερα γιορτάζουμε', 'δημοκρατίας σήμερα', 'γιορτάζουμε', 'νίκη', 'δημοκρατίας', 'αμερικανικού', 'αμερικανικού έθνους', 'αμερικανικό σύνταγμα']","['ενέργειας', 'major challenge', 'russia actions', 'law severely', 'international law', 'impose major', 'impose', 'euro atlantic', 'severely', 'damaged trust']","['εκκλησίας', 'εκκλησία', 'αρχιεπίσκοπο', 'πολιτείας', 'πολιτείας εκκλησίας', 'ειλικρινή διάλογο', 'έδωσε δυνατότητα', 'ιερώνυμο', 'ορθοδοξία', 'εκκλησίας ελλάδος']","['μετρό', 'γραμμής', 'βενιζέλου', 'πειραιά', 'σταθμό', 'βενιζέλου παραδοθεί', 'πόλη μεγάλο', 'αποκαλυφθεί', 'αποκαλυφθεί πόλη', 'αποσπάστηκαν']","['ελβαλ', 'αλουμινίου', 'έλασης', 'μεταλλουργίας', 'ενέργεια κρίσιμη', 'λειτουργία βαριάς', 'αλουμίνιο', 'παράμετρος λειτουργία', 'κρίσιμη παράμετρος', 'έλαση']","['κυρώσεις', 'κυρώσεων', 'σημαντικό ευρώπη', 'ευρώπη ολόκληρη', 'ολόκληρη σημαντικό', 'αυτοσκοπός', 'πετρελαίου', 'ουσιαστικό πλαίσιο', 'ορίζοντα προφανώς', 'οντότητες φυσικά']","['βιοφαρμακευτικής', 'τομέα βιοφαρμακευτικής', 'βάση καινοτομία', 'φαρμακευτική', 'τόνισε στέλιος', 'φαρμακοβιομηχανία', 'φαρμακευτική βιομηχανία', 'βιομηχανία', 'καινοτομία', 'έρευνας']"
3,model_umap_{'n_neighbors': 5}_hdbscan_{'min_cluster_size': 5}_sentences,"['ελλάδα', 'χώρα', 'ευρώπη', 'κρίση', 'σήμερα', 'χώρας', 'κυβέρνηση', 'κι', 'δύο', 'χρόνια']","['ευχαριστώ', 'κι', 'υπάρχουν', 'κάνουμε', 'καταφέρουμε', 'σήμερα', 'χρονιά', 'λαθρομετανάστες', 'χρόνια', 'βέβαιος καταφέρουμε']","['greece', 'thank', 'security', 'alliance', 'nato', 'europe', 'greek', 'years', 'european', 'important']","['έργα', 'υποδομών', 'αερίου', 'ενέργειας', 'υφυπουργός', 'φυσικού', 'φυσικού αερίου', 'έργο', 'υπουργός', 'έργων']","['σύνορα', 'συνόρων', 'ασύλου', 'frontex', 'self', 'σχολείο', 'πρόσφυγες', 'σχολεία', 'ροές', 'ροών']","['εμβόλια', 'εμβόλιο', 'εμβολιασμού', 'εμβολιαστούν', 'εμβολιαστεί', 'δόση', 'εμβολίων', 'συμπολίτες', 'εμβολιασμών', 'εμβολιασμός']","['υγείας', 'σύστημα υγείας', 'εθνικό σύστημα', 'υγεία', 'νοσοκομεία', 'νοσοκομείων', 'νοσοκομείο', 'σύστημα', 'πρωτοβάθμια', 'φροντίδα']","['αγρότες', 'πρωτογενούς', 'αγροτών', 'πρωτογενούς τομέα', 'τομέα', 'πρωτογενή τομέα', 'αγροτικής', 'ελγα', 'αγροτικό', 'πρωτογενή']","['φόρτισης', 'ηλεκτροκίνηση', 'ηλεκτρικά', 'ηλεκτροκίνησης', 'οχήματα', 'volkswagen', 'αυτοκίνητα', 'αυτοκινήτων', 'ηλεκτρικών', 'οχημάτων']","['γυναίκες', 'καρκίνο', 'προσυμπτωματικού', 'προσυμπτωματικού ελέγχου', 'ελέγχου', 'καναδοί', 'πουν χάλαγαν', 'καιρό θέλουν', 'πείσουμε αλλάξουν', 'επώδυνη περίοδος']","['σημεία συμφόρησης', 'συμφόρησης', 'προϊόντων', 'προϊόντα', 'μεταποίηση', 'τρόφιμα', 'εφαρμογή προκύπτει', 'πλαίσιο εντοπίζει', 'ανάπτυξή παρέχει', 'τομέα τρόφιμα']","['λιμενικού', 'ναυτιλία', 'λιμενικού σώματος', 'σώματος', 'ναυτιλίας', 'ελληνική ναυτιλία', 'λιμενικό', 'ιμο', 'ναυτιλιακής', 'εφοπλιστών']","['ένστολους', 'συντάξεις', 'απόφασης συμβουλίου', 'αδικήθηκαν', 'συμβουλίου επικρατείας', 'ενστόλων', 'υπάρχει δει', 'ενστόλων αναγκαστική', 'ένστολοι ξέρω', 'ενίσχυση ενστόλων']","['ενέργειας', 'ρεύματος', 'τιμές', 'ηλεκτρικού', 'ηλεκτρικής ενέργειας', 'ηλεκτρικού ρεύματος', 'ηλεκτρικής', 'βιομηχανία πληρώνει', 'πληρώνει σήμερα', 'σήμερα δυσβάστακτο']","['ψέμα', 'κι ψέμα', 'ψέμα κι', 'διαψεύσουμε', 'διαψεύσαμε ψέμα', 'ψέμα ντροπή', 'ντροπή διαψεύσουμε', 'διαψεύσουμε διαψεύσαμε', 'ντροπή', 'διαψεύσαμε']","['μετρό', 'γραμμής', 'πειραιά', 'λιμάνι', 'σταθμών', 'τραινοσε', 'θυμάμαι 10', 'θεωρώ γίνει', 'παράδοση τριών', 'γίνεται σταθμό']","['πλαίσιο ανέφερα', 'περιβαλλοντικές επιταγές', 'προηγουμένως περιβαλλοντικές', 'επηρεάζουν κλάδους', 'επιταγές επηρεάζουν', 'κυκλική οικονομία', 'κυκλική', 'κλάδους οικονομίας', 'ανέφερα προηγουμένως', 'επιταγές']","['δίνουμε μπορούμε', 'στέρεα δίνουμε', 'μπορούμε στέρεα', 'δίνουμε δίνουμε', 'δίνουμε', 'στέρεα', 'διατροφή', 'φορέων κρήτης', 'ενίσχυσης ελαιουργικών', 'ελαιουργικών φορέων']","['ανησυχίες', 'ανταποκριθεί', 'συμμαχία', 'εκφράζει ανησυχίες', 'συμμαχία καλείται', 'καιρών μεγάλες', 'συμμαχία υποχρέωση', 'μεγάλες συμμαχία', 'πω τόνισα', 'δικαίωμα εκφράζει']","['φυσιολογική κατάσταση', 'αλλαγή φυσιολογική', 'κατάσταση αλλαγή', 'φυσιολογική', 'γεωπολιτικών αναστατώσεων', 'ειδικά βρισκόμαστε', 'κερδίσουμε νέους', 'κέντρο κρίσιμων', 'αναστατώσεων', 'αναστατώσεων μπορούμε']","['μεγαλύτερη ανάγκη', 'τρόπος βοηθήσουμε', 'στηρίξουμε πρώτους', 'πρώτους τρόπος', 'πραγματικά μεγαλύτερη', 'δεσμευτεί στηρίξουμε', 'βοηθήσουμε πραγματικά', 'ανάγκη δεσμευτεί', 'αδύναμοι', 'πρώτους']","['ελβαλ', 'αλουμινίου', 'έλασης', 'μεταλλουργίας', 'έλαση', 'παράμετρος λειτουργία', 'κρίσιμη παράμετρος', 'λειτουργία βαριάς', 'αλουμίνιο', 'ενέργεια κρίσιμη']","['βρουν δουλειά', 'βρουν', 'πιθανότητες βρουν', 'περισσότεροι μεγάλες', 'μεγάλες πιθανότητες', 'μέλλον υπόλοιποι', 'γίνεται περισσότεροι', 'δουλειά άμεσο', 'άμεσο μέλλον', 'υπόλοιποι βρουν']","['καταλύτης καταπολεμηθεί', 'ψυχολογία μιζέριας', 'μιζέριας μεγαλύτερος', 'λοιδορεί καταλύτης', 'λοιδορεί', 'καταπολεμηθεί ψυχολογία', 'μεγαλύτερος εχθρός', 'καταπολεμηθεί', 'καταλύτης', 'εχθρός λοιδορεί']","['εισαγόμενες', 'εγχώριες εσωτερικού', 'εσωτερικού εισαγόμενες', 'εγχώριες', 'εσωτερικού', 'αντικαταστήσουμε αγορά', 'θέλουμε αντικαταστήσουμε', 'εισαγόμενες εγχώριες', 'κατανεμητικό', 'κατανεμητικό μηχανισμό']","['προφανέστατα', 'ποιους δοθούν', 'δοθούν ανάγκη', 'ευεργετικά', 'ανάγκη προφανέστατα', 'προφανέστατα ευεργετικά', 'ευεργετικά ποιους', 'ποιους', 'δοθούν', 'ανάγκη']","['σεπτέμβριο βιάστηκαν', 'βιάστηκαν χαρούν', 'βιάστηκαν', 'περασμένο σεπτέμβριο', 'χαρούν', 'χαρούν περασμένο', 'σεπτέμβριο', 'περασμένο', 'ανοιξιάτικο πάσχα', 'ανοιξιάτικο']","['δικαίωμα παίξουμε', 'παίξουμε', 'παίξουμε δικαίωμα', 'δικαίωμα', '', '', '', '', '', '']","['πνευματικών δικαιωμάτων', 'πνευματικών', 'δημιουργών', 'δουλειά δημιουργία', 'επαγγελματιών αξιοποιούν', 'δράση δυσανάλογους', 'δυνατότητας δημιουργών', 'δυνατότητα επαγγελματιών', 'δυσανάλογους', 'δυσανάλογους περιορισμούς']"
