,model,coherence_npmi,coherence_cv,coherence_umass,coherence_uci,diversity_topic,similarity_rbo,similarity_pjs
0,lsi,0.031692511298892535,0.5599711336611832,-1.594048476767891,-0.7248745862091962,0.56,0.04494427586206895,0.03761338776284856
1,lda,0.16096967861322017,0.7172562183591622,-1.2175064126335893,0.9350416757799137,0.82,0.01341099999999995,0.012270421376858867
2,hdp,-0.026246542817932494,0.5313232750878243,-1.9042758534806519,-2.1475303492206055,0.5626666666666666,0.016079810290827723,0.013289367868502516
3,nmf,0.10028280173386243,0.6342133358394377,-1.6454580466592412,-0.1808134628606831,0.5933333333333334,0.03972895402298848,0.03203385288898256
4,prod_lda,-0.061468469857433664,0.5926138691964414,-3.3713735210605567,-4.170180651962108,0.9333333333333333,0.004847505747126446,0.006414955576907111
