dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),num_topics,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,111.0066590309143,0.3497174571900956,0.3497174571900956,0.0036118818409481557,27,-2.1204851546265187,0.9333333333333333
dataset_name,RF,LCB,1,32.43757200241089,0.36360637189022504,0.36360637189022504,0.04754927964445063,5,-6.364817614959321,0.92
dataset_name,RF,LCB,2,133.78091287612915,0.3807071267759234,0.3807071267759234,0.007948841923773486,34,-2.3092429207163487,0.8852941176470588
dataset_name,RF,LCB,3,144.62087297439575,0.3774523527335865,0.3774523527335865,0.0008933565390409903,40,-2.7439174593530464,0.855
dataset_name,RF,LCB,4,111.58038711547852,0.3710279925632031,0.3710279925632031,0.001090775175677683,28,-2.2255778938538118,0.9178571428571429
dataset_name,RF,LCB,5,146.94796991348267,0.37756205509439666,0.37756205509439666,0.006403507547973197,36,-1.8433065984413965,0.9083333333333333
dataset_name,RF,LCB,6,181.18480777740479,0.3618609181770992,0.3618609181770992,0.011640885235985027,43,-2.2489535199951423,0.8837209302325582
dataset_name,RF,LCB,7,124.19144487380981,0.3580597433612223,0.3580597433612223,0.010157140488813943,33,-2.6817479885955446,0.8727272727272728
dataset_name,RF,LCB,8,155.42195010185242,0.3838052117467799,0.3838052117467799,0.006519736227523054,35,-1.2829242741896985,0.9457142857142857
dataset_name,RF,LCB,9,154.16704893112183,0.3560039596076046,0.3560039596076046,0.0021063643624287254,39,-2.4919725507255936,0.8743589743589744
dataset_name,RF,LCB,10,122.52202224731445,0.3588066452069662,0.3588066452069662,0.0017157738461738292,31,-2.1211661545524727,0.8903225806451613
dataset_name,RF,LCB,11,187.47211909294128,0.3934582229127819,0.3934582229127819,0.0006446574577814446,43,-1.3415481391300779,0.9069767441860466
dataset_name,RF,LCB,12,173.03137683868408,0.35137346275848186,0.35137346275848186,0.0032557616882176177,46,-3.1134124244723926,0.8
dataset_name,RF,LCB,13,55.20337510108948,0.4184755052553283,0.4184755052553283,0.014575322960524467,13,-2.6424636484062387,0.9307692307692308
dataset_name,RF,LCB,14,58.544349908828735,0.3407501130334221,0.3407501130334221,0.022666395236117298,14,-3.2538792491998914,0.9285714285714286
dataset_name,RF,LCB,15,71.14097285270691,0.35586351554729045,0.35586351554729045,0.023829194583653623,20,-3.9228798606717206,0.825
dataset_name,RF,LCB,16,67.14133310317993,0.37316862496784253,0.37316862496784253,0.00660078665809391,16,-1.7913939932977567,0.9875
dataset_name,RF,LCB,17,36.722060203552246,0.34522588807628685,0.34522588807628685,0.004973194939976111,6,-4.920089636637969,0.9333333333333333
dataset_name,RF,LCB,18,41.012202978134155,0.38439465763780145,0.38439465763780145,0.01578504316410606,8,-3.939492094263507,0.9624999999999999
dataset_name,RF,LCB,19,50.91193604469299,0.3919531680082426,0.3919531680082426,0.019071596683546133,11,-3.3908278754519308,0.9272727272727272
dataset_name,RF,LCB,20,45.657933950424194,0.37843980352844026,0.37843980352844026,0.021320514692563686,12,-3.371713256188759,0.9083333333333333
dataset_name,RF,LCB,21,112.30924797058105,0.3606037423528913,0.3606037423528913,0.005497721704039754,30,-2.9374280129770756,0.87
dataset_name,RF,LCB,22,172.97827625274658,0.390953160638907,0.390953160638907,0.009976244324203243,40,-1.1987022491936465,0.9075
dataset_name,RF,LCB,23,32.735174894332886,0.34745061122602244,0.34745061122602244,0.01094127782065396,5,-6.061070337948689,0.8999999999999999
dataset_name,RF,LCB,24,185.72648811340332,0.35789078927359674,0.35789078927359674,0.008527773245819409,47,-2.7332958319515677,0.8276595744680851
dataset_name,RF,LCB,25,116.67386889457703,0.34488966103148794,0.34488966103148794,0.0038385736205457377,28,-1.7458374485534907,0.9178571428571428
dataset_name,RF,LCB,26,118.15013599395752,0.37476084097449824,0.37476084097449824,0.014971478444217284,31,-2.829449698932006,0.8870967741935484
dataset_name,RF,LCB,27,182.26771211624146,0.3703539029838523,0.3703539029838523,0.003967731138273062,42,-1.3942418033904822,0.9047619047619047
dataset_name,RF,LCB,28,43.09829807281494,0.3690579893133419,0.3690579893133419,0.018416832211684026,9,-4.9829297121143,0.8999999999999999
dataset_name,RF,LCB,29,89.82410883903503,0.39614116161984053,0.39614116161984053,0.006021540305220285,24,-2.364617531140684,0.9375
dataset_name,RF,LCB,30,158.38785791397095,0.36180642854989165,0.36180642854989165,0.0009486280707381445,40,-2.451587431584829,0.88
dataset_name,RF,LCB,31,193.75507616996765,0.3647031902281128,0.3647031902281128,0.009377541917545057,49,-2.637817775213888,0.8510204081632653
dataset_name,RF,LCB,32,73.10860896110535,0.3658477922822874,0.3658477922822874,0.008485457026788268,19,-3.72364824435146,0.9263157894736842
dataset_name,RF,LCB,33,54.873379945755005,0.36953902735317534,0.36953902735317534,0.012400673149743108,13,-3.9384847633454783,0.9384615384615385
dataset_name,RF,LCB,34,39.47070789337158,0.41234110142846103,0.41234110142846103,0.012129160968440772,7,-4.194284709983078,0.9142857142857143
dataset_name,RF,LCB,35,75.39354515075684,0.3994928384282209,0.3994928384282209,0.007067044117375937,19,-2.4201336105960563,0.8999999999999999
dataset_name,RF,LCB,36,55.323355197906494,0.3866011942220384,0.3866011942220384,0.03916546228891915,13,-2.681707314353517,0.9384615384615385
dataset_name,RF,LCB,37,92.9917778968811,0.38506572952820056,0.38506572952820056,0.00027545648467725004,25,-3.3882239417124502,0.896
dataset_name,RF,LCB,38,57.66500401496887,0.36729397419199894,0.36729397419199894,0.0005987104978153746,13,-2.782356469834502,0.9307692307692308
