dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),num_topics,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,39,136.01860404014587,0.35995168386918164,0.35995168386918164,0.004365312055251619,34,-2.6552620555710424,0.8411764705882353
dataset_name,RF,LCB,40,42.56300902366638,0.41212996032428406,0.41212996032428406,0.025139650058656676,8,-3.778216508283845,0.925
dataset_name,RF,LCB,41,117.77779412269592,0.3665015326404474,0.3665015326404474,0.008411315246175971,35,-3.0512969926236826,0.8428571428571429
dataset_name,RF,LCB,42,45.2201361656189,0.4154575890770288,0.4154575890770288,0.02232990493760192,9,-3.359984689444103,0.8888888888888888
dataset_name,RF,LCB,43,124.71029806137085,0.3806315918227031,0.3806315918227031,0.025861574268382675,31,-2.426763989043906,0.8870967741935484
dataset_name,RF,LCB,44,70.9116039276123,0.394821478127948,0.394821478127948,0.002138477719765136,20,-3.503674719406011,0.9
dataset_name,RF,LCB,45,214.73068475723267,0.37575970769394895,0.37575970769394895,0.014990180910006395,49,-1.9572078559259716,0.8489795918367347
dataset_name,RF,LCB,46,55.72288799285889,0.39622873894010674,0.39622873894010674,0.01286059018815261,13,-3.108847667959477,0.9538461538461539
dataset_name,RF,LCB,47,52.608099937438965,0.39431103049596505,0.39431103049596505,0.003780617629701083,14,-3.866010698810487,0.9142857142857144
dataset_name,RF,LCB,48,65.00322580337524,0.3555236133237394,0.3555236133237394,0.002522362090557062,17,-3.800843846521289,0.9235294117647059
dataset_name,RF,LCB,49,219.78852081298828,0.36564274024140603,0.36564274024140603,0.007120648917232575,47,-1.8302752633575208,0.8787234042553191
